GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100273,STCTY-17031 TRACT-    0273     IN CHICAGO IL,"2851","2850","1","2039","1","2111",32.48
G17003100274,STCTY-17031 TRACT-    0274     IN CHICAGO IL,"8340","8332","8","5424","7","2677",40.13
G17003100275,STCTY-17031 TRACT-    0275     IN CHICAGO IL,"4754","4749","5","3255","5","3478",38.27
G17003100276,STCTY-17031 TRACT-    0276     IN CHICAGO IL,"612","612","0","397","0","0",34.32
G17003100277,STCTY-17031 TRACT-    0277     IN CHICAGO IL,"7955","7951","4","6288","0","3074",36.62
G17003100278,STCTY-17031 TRACT-    0278     IN CHICAGO IL,"7783","7778","5","5836","5","3169",33.68
G17003100279,STCTY-17031 TRACT-    0279     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100280,STCTY-17031 TRACT-    0280     IN CHICAGO IL,"12430","12418","12","9240","6","2693",37.59
G17003100281,STCTY-17031 TRACT-    0281     IN CHICAGO IL,"3260","3260","0","2502","0","2744",38.34
G17003100282,STCTY-17031 TRACT-    0282     IN CHICAGO IL,"1854","1854","0","1474","0","2614",35.84
G17003100283,STCTY-17031 TRACT-    0283     IN CHICAGO IL,"2669","2668","1","1874","1","2056",30.64
G17003100284,STCTY-17031 TRACT-    0284     IN CHICAGO IL,"2429","2429","0","1854","0","1872",26.23
G17003100285,STCTY-17031 TRACT-    0285     IN CHICAGO IL,"3965","3954","11","2441","11","2235",34.2
G17003100286,STCTY-17031 TRACT-    0286     IN CHICAGO IL,"4715","4706","9","2979","8","1926",29.02
G17003100287,STCTY-17031 TRACT-    0287     IN CHICAGO IL,"2786","2758","28","1991","28","1895",26.82
G17003100288,STCTY-17031 TRACT-    0288     IN CHICAGO IL,"3801","3703","98","2543","98","2168",26.11
G17003100289,STCTY-17031 TRACT-    0289     IN CHICAGO IL,"4816","4745","71","3390","69","1811",22.59
G17003100290,STCTY-17031 TRACT-    0290     IN CHICAGO IL,"4758","4561","197","3235","197","1701",21.95
G17003100291,STCTY-17031 TRACT-    0291     IN CHICAGO IL,"4980","4976","4","3709","4","1454",21.6
G17003100292,STCTY-17031 TRACT-    0292     IN CHICAGO IL,"5915","5911","4","3965","3","2648",29.98
G17003100293,STCTY-17031 TRACT-    0293     IN CHICAGO IL,"6993","6993","0","4898","0","1707",24.31
G17003100294,STCTY-17031 TRACT-    0294     IN CHICAGO IL,"7017","7006","11","4936","0","1513",22.03
G17003100295,STCTY-17031 TRACT-    0295     IN CHICAGO IL,"2207","2207","0","1711","0","1369",25.63
G17003100296,STCTY-17031 TRACT-    0296     IN CHICAGO IL,"1956","1948","8","1448","0","2154",27.93
G17003100297,STCTY-17031 TRACT-    0297     IN CHICAGO IL,"142","142","0","106","0","0",0
G17003100298,STCTY-17031 TRACT-    0298     IN CHICAGO IL,"7708","7621","87","5145","82","2078",27.22
G17003100299,STCTY-17031 TRACT-    0299     IN CHICAGO IL,"5751","5670","81","3884","73","2058",29.21
G17003100300,STCTY-17031 TRACT-    0300     IN CHICAGO IL,"4201","4197","4","2804","0","2114",26.96
G17003100301,STCTY-17031 TRACT-    0301     IN CHICAGO IL,"11496","11470","26","7553","26","2070",30.98
G17003100302,STCTY-17031 TRACT-    0302     IN CHICAGO IL,"3406","3404","2","2295","2","2389",34.31
G17003100303,STCTY-17031 TRACT-    0303     IN CHICAGO IL,"5770","5750","20","3929","20","2108",29.12
G17003100304,STCTY-17031 TRACT-    0304     IN CHICAGO IL,"6453","6445","8","4334","4","3333",34.51
G17003100305,STCTY-17031 TRACT-    0305     IN CHICAGO IL,"919","918","1","718","1","0",24.72
G17003100306,STCTY-17031 TRACT-    0306     IN CHICAGO IL,"2825","2821","4","2143","0","1771",22.51
G17003100307,STCTY-17031 TRACT-    0307     IN CHICAGO IL,"2116","2111","5","1653","0","1647",22.13
G17003100308,STCTY-17031 TRACT-    0308     IN CHICAGO IL,"1383","1383","0","1132","0","0",21.9
G17003100309,STCTY-17031 TRACT-    0309     IN CHICAGO IL,"8963","8956","7","5888","5","1972",25.7
G17003100310,STCTY-17031 TRACT-    0310     IN CHICAGO IL,"5607","5607","0","4270","0","1472",21.9
G17003100311,STCTY-17031 TRACT-    0311     IN CHICAGO IL,"7374","7373","1","5570","0","1271",19.88
G17003100312,STCTY-17031 TRACT-    0312     IN CHICAGO IL,"2959","2958","1","2262","0","1019",19.09
G17003100313,STCTY-17031 TRACT-    0313     IN CHICAGO IL,"7299","7299","0","5107","0","1490",19.41
G17003100314,STCTY-17031 TRACT-    0314     IN CHICAGO IL,"4385","4382","3","3160","0","1049",18.42
G17003100315,STCTY-17031 TRACT-    0315     IN CHICAGO IL,"2158","2155","3","1502","3","0",18.39
G17003100316,STCTY-17031 TRACT-    0316     IN CHICAGO IL,"5495","5456","39","3850","39","2172",23.52
G17003100317,STCTY-17031 TRACT-    0317     IN CHICAGO IL,"6663","6656","7","4473","7","924",18.78
G17003100318,STCTY-17031 TRACT-    0318     IN CHICAGO IL,"5074","5074","0","3335","0","0",22.73
G17003100319,STCTY-17031 TRACT-    0319     IN CHICAGO IL,"2396","2381","15","1434","15","0",16.13
G17003100320,STCTY-17031 TRACT-    0320     IN CHICAGO IL,"374","373","1","269","1","0",0
G17003100321,STCTY-17031 TRACT-    0321     IN CHICAGO IL,"4263","4263","0","3684","0","8722",51.96
G17003100322,STCTY-17031 TRACT-    0322     IN CHICAGO IL,"6661","6661","0","5597","0","4864",46.09
G17003100323,STCTY-17031 TRACT-    0323     IN CHICAGO IL,"5079","5075","4","4238","0","4214",45.19
G17003100324,STCTY-17031 TRACT-    0324     IN CHICAGO IL,"2820","2820","0","2303","0","5171",40.74
G17003100325,STCTY-17031 TRACT-    0325     IN CHICAGO IL,"637","636","1","503","0","0",34.26
G17003100326,STCTY-17031 TRACT-    0326     IN CHICAGO IL,"5032","5029","3","4282","0","6243",50.58
